check,kind,comparison,observed,threshold,pass_rate,required_pass_rate,failed_seeds
full_volatility_in_daily_range,scenario,full,0.013440175457645526,"{""maximum"": 0.03, ""minimum"": 0.005}",1.0,0.8,
full_return_autocorrelation_near_zero_across_lags,scenario,full,0.0672952264261438,0.2,0.98,0.8,20261251
full_volatility_clustering_has_decay,scenario,full,0.08910514094837782,0.03,0.74,0.8,20261214;20261215;20261216;20261217;20261222;20261225;20261227;20261236;20261238;20261249;20261250;20261256;20261259
full_heavier_than_gaussian,scenario,full,0.624146700740327,0.1,0.7,0.8,20261214;20261215;20261216;20261217;20261222;20261225;20261229;20261231;20261236;20261238;20261240;20261249;20261250;20261256;20261259
full_volume_volatility_relation_positive,scenario,full,0.24065630548919104,0.05,0.9,0.8,20261216;20261222;20261236;20261250;20261259
full_price_discovery_bounded,scenario,full,0.0430388660855579,0.1,0.86,0.8,20261214;20261222;20261225;20261236;20261250;20261256;20261259
endogenous_liquidity_feedback_increases_tail_weight,paired_difference,full - fixed_liquidity,0.4417077824057287,0.05,0.74,0.8,20261214;20261215;20261216;20261217;20261222;20261225;20261236;20261238;20261246;20261249;20261250;20261256;20261259
public_news_marginal_response,paired_ratio,full -> no_direct_news,14.561217469581933,1.0,1.0,0.8,
public_news_independent_response,paired_ratio,no_agent_information -> no_information_channels,15.37873779342587,1.0,1.0,0.8,
agent_information_marginal_response,paired_ratio,full -> no_agent_information,1.1455898562615208,1.0,0.8,0.8,20261214;20261215;20261216;20261218;20261222;20261236;20261237;20261240;20261241;20261244
agent_information_independent_response,paired_ratio,no_direct_news -> no_information_channels,1.0803539891089313,1.0,0.82,0.8,20261211;20261213;20261217;20261228;20261234;20261237;20261243;20261249;20261250
empty_information_baseline_is_weakest_discovery,paired_ratio,full -> no_information_channels,16.825761878575218,1.0,1.0,0.8,
value_only_remains_active,scenario,value_only,0.011774390836407316,0.001,1.0,0.8,
trend_only_remains_active,scenario,trend_only,0.015137415170852458,0.002,1.0,0.8,
noise_only_remains_active,scenario,noise_only,0.015850947561221927,0.003,1.0,0.8,
value_only_avoids_pathological_return_predictability,scenario,value_only,0.033536090573202004,0.25,1.0,0.8,
trend_only_avoids_pathological_return_predictability,scenario,trend_only,0.013102329073217794,0.25,1.0,0.8,
noise_only_avoids_pathological_return_predictability,scenario,noise_only,0.003724298924433175,0.25,1.0,0.8,
independent_signals_avoids_pathological_return_predictability,scenario,independent_signals,0.02158711823932235,0.25,1.0,0.8,
fixed_participation_avoids_pathological_return_predictability,scenario,fixed_participation,0.04368133767419384,0.25,1.0,0.8,
fixed_liquidity_avoids_pathological_return_predictability,scenario,fixed_liquidity,0.016490911565528454,0.25,1.0,0.8,
liquidity_stress_avoids_pathological_return_predictability,scenario,liquidity_stress,0.07516198592190494,0.25,1.0,0.8,
spread_and_depth_are_finite,scenario,full,6.626624896533217,"{""maximum"": 25.0, ""minimum"": 1.0}",1.0,0.8,
liquidity_stress_increases_clustering,paired_difference,liquidity_stress - full,0.17285446081369976,0.0,0.96,0.8,20261251;20261259
logit_imitation_fires_and_tracks_fitness,scenario,logit_learning,6300.0,150.0,1.0,0.8,
logit_market_remains_active_and_bounded,scenario,logit_learning,0.014794139985415608,"{""maximum"": 0.04, ""minimum"": 0.005}",0.96,0.8,20261211;20261251
persistent_order_flow_is_observable,scenario,full,0.4546414711069435,0.05,1.0,0.8,
